Sample in Buffer,Sample in Window,TRIGGER,design_1_i/tvalid_fir_gen_0_odata_q[15:0],design_1_i/tvalid_fir_gen_0_odata_i[15:0],user_probe_I[15:0],design_1_i/fir_compiler_2_m_axis_data_tdata[15:0],design_1_i/fir_compiler_1_m_axis_data_tdata[15:0],design_1_i/fir_compiler_0_m_axis_data_tdata[15:0],design_1_i/fir_compiler_3_m_axis_data_tdata[15:0],design_1_i/tvalid_fir_gen_0_tvalid,design_1_i/tvalid_fir_gen_1_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX
25205,25205,0,-200,-68,-68,17,389,-50,7,0,0
25206,25206,0,-200,-68,-68,17,389,-50,7,0,0
25207,25207,0,-200,-68,-68,-55,389,-50,17,0,0
25208,25208,0,-217,-26,-26,-55,389,-50,17,1,0
25209,25209,0,-217,-26,-26,-55,353,-31,17,0,1
25210,25210,0,-217,-26,-26,-55,353,-31,17,0,0
25211,25211,0,-217,-26,-26,-55,353,-31,17,0,0
25212,25212,0,-217,-26,-26,-55,353,-31,17,0,0
25213,25213,0,-217,-26,-26,-55,217,3,17,0,1
25214,25214,0,-217,-26,-26,-55,217,3,17,0,0
25215,25215,0,-217,-26,-26,-55,217,3,17,0,0
25216,25216,0,-217,-26,-26,-46,217,3,-25,0,0
25217,25217,0,59,114,114,-46,217,3,-25,1,0
25218,25218,0,59,114,114,-46,21,18,-25,0,1
25219,25219,0,59,114,114,-46,21,18,-25,0,0
25220,25220,0,59,114,114,-46,21,18,-25,0,0
25221,25221,0,59,114,114,-46,21,18,-25,0,0
25222,25222,0,59,114,114,-46,-150,-10,-25,0,1
25223,25223,0,59,114,114,-46,-150,-10,-25,0,0
25224,25224,0,59,114,114,-46,-150,-10,-25,0,0
25225,25225,0,59,114,114,-13,-150,-10,-88,0,0
25226,25226,0,-86,14,14,-13,-150,-10,-88,1,0
25227,25227,0,-86,14,14,-13,-220,-76,-88,0,1
25228,25228,0,-86,14,14,-13,-220,-76,-88,0,0
25229,25229,0,-86,14,14,-13,-220,-76,-88,0,0
25230,25230,0,-86,14,14,-13,-220,-76,-88,0,0
25231,25231,0,-86,14,14,-13,-163,-150,-88,0,1
